item,lower_ns,typical_ns,upper_ns
rust.day01.part1.realinput/part1,72712.55257881837,72896.11420844856,73085.15125573958
rust.day01.part1_simd.realinput/part1_memchr.nosum,88997.74436999043,89519.95880867938,90080.3463008065
rust.day01.part2.realinput/part2,343255.6828752152,346756.30908920744,352214.1516084086
rust.day02.part1.realinput/part1.nosum,31589.621214758863,31962.38813645264,32416.987144193692
rust.day02.part1.realinput/part1_parsing,7364.228560730574,7430.857909230783,7516.454862069535
rust.day02.part2.realinput/part2.nosum,48151.399032615656,48520.50944246237,48948.80898327858
rust.day02.part2.realinput/part2_parsing,8972.233767781125,9032.339138274523,9104.88907473905
rust.day03.part1.realinput/part1.nosum,298093.440629969,302745.66182429437,308100.1046469202
rust.day03.part1.realinput/part1_core.nosum,264867.6614161454,266713.0770511305,269122.5194072451
rust.day03.part1.realinput/part1_fast,102267.1016523886,102641.94194207182,103109.95588477602
rust.day03.part2.realinput/part2.nosum,326894.29178818763,330026.35157085856,334019.3135238664
rust.day03.part2.realinput/part2_core.nosum,291710.58307793684,293616.9760521649,296138.606177894
rust.day03.part2.realinput/part2_fast,220405.90020829634,221807.51841938822,223761.27344587588
python.day03.soln1.realinput/part1,4719686.305419724,4784365.156228887,4849044.007038049
python.day03.soln1.realinput/part2,4930810.347716656,5070635.299671266,5210460.251625877
rust.day04.part1.realinput/part1.nosum,118206.12690334267,118832.78450355484,119597.07545520665
rust.day04.part1.realinput/part1_bitset,60380.70799341606,60679.27750189066,61023.17093906005
rust.day04.part1.realinput/part1_core.nosum,19897.397521756524,20102.208214866263,20364.790583485363
rust.day04.part1.realinput/part1_streamparse.nosum,79958.62715541263,80541.6849173023,81180.62909887468
rust.day04.part2.realinput/part2.nosum,115091.3575592365,116026.31807201616,117268.80751117886
rust.day04.part2.realinput/part2_core.nosum,21123.372476026947,21397.665544618707,21775.574910608804
rust.day04.part2.realinput/part2_streamparse,79440.42060437103,80202.08363506156,81091.1930618829
python.day04.soln1.realinput/part1,1419019.399492359,1457379.7458337387,1495740.0921751184
python.day04.soln1.realinput/part2,1519883.8964880458,1555943.548959012,1592003.201429978
python.day05.part1.realinput/part1,361230.3251270801,22241554.299156025,44121878.27318497
rust.day05.part2.realinput/part2,129431827312.67749,129860511656.1,130299276581.1875
rust.day06.parse.nosum.realinput/parse,202.3757476447696,209.11935910604265,217.1207460779496
rust.day06.parse.nosum.realinput/parse_fast,80.77251214722159,83.41023937772313,86.38712008446844
rust.day06.part1.realinput/part1,107.9531862933865,112.06433861186686,116.72094677980756
rust.day06.part2.realinput/part2,352.7169901055999,361.1212368044047,370.62354800087377
rust.day06.part2.realinput/part2_other.nosum,371.68371049934103,377.77009364608494,386.0426330965002
python.day06.soln1.realinput/part1,18422.241913039976,19273.523323922367,20124.80473480476
python.day06.soln1.realinput/part2,4447.666789285009,4731.51620899633,5015.36562870765
rust.day07.baselines.nosum.realinput/read_all,2476.860704322395,2500.694257064763,2530.1422099368797
rust.day07.baselines.nosum.realinput/sort_10k_str,27763.233692143705,27983.532491122885,28277.27799434926
rust.day07.parse.nosum.realinput/parse,91794.33728130335,92670.77737684216,93767.20058291429
rust.day07.part1.realinput/part1,3908624.120788461,3940912.366153847,3979226.6504038465
rust.day07.part2.realinput/part2,4370806.523666664,4413914.027500001,4467838.968041665
rust.day08.parse.nosum.realinput/parse,60206.35463910578,60540.40953241944,60986.73554942589
rust.day08.part1.realinput/part1,465605.54861294525,468802.56538988225,472696.00200665486
rust.day08.part2.realinput/part2,2363301.8272619047,2380844.8461904754,2402806.925511904
python.day08.soln1.realinput/part1,2794416.6607291144,2911814.502112975,3029212.3434968353
python.day08.soln1.realinput/part2,16303616.111329498,16461741.499855027,16619866.888380555
rust.day09.parse.nosum.realinput/parse,84214.28662664478,84955.38973794394,85790.11928454357
rust.day09.part1.realinput/part1.nosum,230785.6975030853,232242.72528151324,234100.73571636283
rust.day09.part1.realinput/part1_noalloc,114073.27334117994,114911.33776858283,115934.68094648034
rust.day09.part2.realinput/part2.nosum,219706.82898551307,221183.04422698388,223110.9068995133
rust.day09.part2.realinput/part2_noalloac,115865.86681056714,117004.16757762343,118491.9290169018
rust.day11.parse.nosum.realinput/parse,45722.43055815469,46234.72625549122,46923.14169089665
rust.day11.part1.realinput/part1,35789971.0654648,36670044.74199134,37288305.32231405
rust.day11.part2.realinput/part2,35796225.15463114,35967975.32380953,36330047.68115942
python.day13.soln1.realinput/part1,7233652.585283974,7569023.7994422205,7904395.013600467
python.day13.soln1.realinput/part2,506058310.03120327,515729019.37179273,525399728.7123822
rust.day14.parse.nosum.realinput/parse,17201.07947788097,17263.911010442836,17349.66206837343
rust.day14.part1.realinput/part1,150366.30019288315,150950.06405581709,151768.3910622217
rust.day14.part2.realinput/part2,90798961.14,91259454.43,91838608.36
rust.day15.parse.nosum.realinput/parse,30621.885796239327,30850.921351965422,31182.13470586494
rust.day15.part1.realinput/part1,62175.47444278048,62617.671514334266,63191.581283929474
rust.TOTAL,129606658548.47113,130036961007.26935,130477416891.26392
python.TOTAL,545363495.5714922,577805482.2625849,610247468.9536777
