group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day5-part1,part1-1000,,,,52118694.0,ns,20
day5-part1,part1-1000,,,,51480554.0,ns,20
day5-part1,part1-1000,,,,51627624.0,ns,20
day5-part1,part1-1000,,,,51587463.0,ns,20
day5-part1,part1-1000,,,,51479264.0,ns,20
day5-part1,part1-1000,,,,52510523.0,ns,20
day5-part1,part1-1000,,,,52112984.0,ns,20
day5-part1,part1-1000,,,,51618113.0,ns,20
day5-part1,part1-1000,,,,51924054.0,ns,20
day5-part1,part1-1000,,,,51726564.0,ns,20
day5-part1,part1-1000,,,,51472733.0,ns,20
day5-part1,part1-1000,,,,51420724.0,ns,20
day5-part1,part1-1000,,,,51824034.0,ns,20
day5-part1,part1-1000,,,,51561573.0,ns,20
day5-part1,part1-1000,,,,51529684.0,ns,20
day5-part1,part1-1000,,,,51634384.0,ns,20
day5-part1,part1-1000,,,,55594582.0,ns,20
day5-part1,part1-1000,,,,51758163.0,ns,20
day5-part1,part1-1000,,,,51608624.0,ns,20
day5-part1,part1-1000,,,,51778213.0,ns,20
day5-part1,part1-1000,,,,51398675.0,ns,20
day5-part1,part1-1000,,,,51501823.0,ns,20
day5-part1,part1-1000,,,,51642794.0,ns,20
day5-part1,part1-1000,,,,51550533.0,ns,20
day5-part1,part1-1000,,,,51354504.0,ns,20
day5-part1,part1-1000,,,,51696684.0,ns,20
day5-part1,part1-1000,,,,51475824.0,ns,20
day5-part1,part1-1000,,,,52108973.0,ns,20
day5-part1,part1-1000,,,,51408144.0,ns,20
day5-part1,part1-1000,,,,51490194.0,ns,20
day5-part1,part1-1000,,,,51390974.0,ns,20
day5-part1,part1-1000,,,,51819953.0,ns,20
day5-part1,part1-1000,,,,51527034.0,ns,20
day5-part1,part1-1000,,,,51504564.0,ns,20
day5-part1,part1-1000,,,,51478623.0,ns,20
day5-part1,part1-1000,,,,51931384.0,ns,20
day5-part1,part1-1000,,,,51443634.0,ns,20
day5-part1,part1-1000,,,,51486404.0,ns,20
day5-part1,part1-1000,,,,51927283.0,ns,20
day5-part1,part1-1000,,,,51614624.0,ns,20
day5-part1,part1-1000,,,,51458043.0,ns,20
day5-part1,part1-1000,,,,51373904.0,ns,20
day5-part1,part1-1000,,,,51931064.0,ns,20
day5-part1,part1-1000,,,,51682584.0,ns,20
day5-part1,part1-1000,,,,51784033.0,ns,20
day5-part1,part1-1000,,,,52951773.0,ns,20
day5-part1,part1-1000,,,,52156104.0,ns,20
day5-part1,part1-1000,,,,51608023.0,ns,20
day5-part1,part1-1000,,,,52795363.0,ns,20
day5-part1,part1-1000,,,,51818094.0,ns,20
day5-part1,part1-1000,,,,52023344.0,ns,20
day5-part1,part1-1000,,,,51989953.0,ns,20
day5-part1,part1-1000,,,,51846123.0,ns,20
day5-part1,part1-1000,,,,52084364.0,ns,20
day5-part1,part1-1000,,,,52329594.0,ns,20
day5-part1,part1-1000,,,,54624781.0,ns,20
day5-part1,part1-1000,,,,53103934.0,ns,20
day5-part1,part1-1000,,,,51939473.0,ns,20
day5-part1,part1-1000,,,,51772634.0,ns,20
day5-part1,part1-1000,,,,51906883.0,ns,20
day5-part1,part1-1000,,,,52152264.0,ns,20
day5-part1,part1-1000,,,,51936893.0,ns,20
day5-part1,part1-1000,,,,51775404.0,ns,20
day5-part1,part1-1000,,,,51718533.0,ns,20
day5-part1,part1-1000,,,,52433633.0,ns,20
day5-part1,part1-1000,,,,51801124.0,ns,20
day5-part1,part1-1000,,,,51989284.0,ns,20
day5-part1,part1-1000,,,,52036443.0,ns,20
day5-part1,part1-1000,,,,51793633.0,ns,20
day5-part1,part1-1000,,,,51704565.0,ns,20
day5-part1,part1-1000,,,,51566783.0,ns,20
day5-part1,part1-1000,,,,53820643.0,ns,20
day5-part1,part1-1000,,,,51948853.0,ns,20
day5-part1,part1-1000,,,,51979314.0,ns,20
day5-part1,part1-1000,,,,51607144.0,ns,20
day5-part1,part1-1000,,,,51735163.0,ns,20
day5-part1,part1-1000,,,,52045023.0,ns,20
day5-part1,part1-1000,,,,51684894.0,ns,20
day5-part1,part1-1000,,,,51810604.0,ns,20
day5-part1,part1-1000,,,,51601704.0,ns,20
day5-part1,part1-1000,,,,51502783.0,ns,20
day5-part1,part1-1000,,,,51720334.0,ns,20
day5-part1,part1-1000,,,,51888153.0,ns,20
day5-part1,part1-1000,,,,51510194.0,ns,20
day5-part1,part1-1000,,,,52401714.0,ns,20
day5-part1,part1-1000,,,,52057013.0,ns,20
day5-part1,part1-1000,,,,51791544.0,ns,20
day5-part1,part1-1000,,,,51346103.0,ns,20
day5-part1,part1-1000,,,,51463544.0,ns,20
day5-part1,part1-1000,,,,51705694.0,ns,20
day5-part1,part1-1000,,,,51736583.0,ns,20
day5-part1,part1-1000,,,,51699464.0,ns,20
day5-part1,part1-1000,,,,51621123.0,ns,20
day5-part1,part1-1000,,,,51880594.0,ns,20
day5-part1,part1-1000,,,,53353923.0,ns,20
day5-part1,part1-1000,,,,53916593.0,ns,20
day5-part1,part1-1000,,,,51749613.0,ns,20
day5-part1,part1-1000,,,,51887044.0,ns,20
day5-part1,part1-1000,,,,51779653.0,ns,20
day5-part1,part1-1000,,,,51694784.0,ns,20
