group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day5-part1,part1-2000,,,,50954464.0,ns,4
day5-part1,part1-2000,,,,50740494.0,ns,4
day5-part1,part1-2000,,,,50846495.0,ns,4
day5-part1,part1-2000,,,,50737174.0,ns,4
day5-part1,part1-2000,,,,50738434.0,ns,4
day5-part1,part1-2000,,,,50983784.0,ns,4
day5-part1,part1-2000,,,,50829144.0,ns,4
day5-part1,part1-2000,,,,50610034.0,ns,4
day5-part1,part1-2000,,,,50804614.0,ns,4
day5-part1,part1-2000,,,,51129574.0,ns,4
day5-part1,part1-2000,,,,51094874.0,ns,4
day5-part1,part1-2000,,,,50699174.0,ns,4
day5-part1,part1-2000,,,,50783025.0,ns,4
day5-part1,part1-2000,,,,50629053.0,ns,4
day5-part1,part1-2000,,,,50840195.0,ns,4
day5-part1,part1-2000,,,,50710144.0,ns,4
day5-part1,part1-2000,,,,50901714.0,ns,4
day5-part1,part1-2000,,,,50832714.0,ns,4
day5-part1,part1-2000,,,,50728134.0,ns,4
day5-part1,part1-2000,,,,50668504.0,ns,4
day5-part1,part1-2000,,,,50648054.0,ns,4
day5-part1,part1-2000,,,,50958594.0,ns,4
day5-part1,part1-2000,,,,50555424.0,ns,4
day5-part1,part1-2000,,,,50761714.0,ns,4
day5-part1,part1-2000,,,,50719474.0,ns,4
day5-part1,part1-2000,,,,51079345.0,ns,4
day5-part1,part1-2000,,,,52477373.0,ns,4
day5-part1,part1-2000,,,,50739684.0,ns,4
day5-part1,part1-2000,,,,50686504.0,ns,4
day5-part1,part1-2000,,,,50897184.0,ns,4
day5-part1,part1-2000,,,,50840474.0,ns,4
day5-part1,part1-2000,,,,50767394.0,ns,4
day5-part1,part1-2000,,,,50868904.0,ns,4
day5-part1,part1-2000,,,,50934704.0,ns,4
day5-part1,part1-2000,,,,50846434.0,ns,4
day5-part1,part1-2000,,,,51154594.0,ns,4
day5-part1,part1-2000,,,,53172623.0,ns,4
day5-part1,part1-2000,,,,50934644.0,ns,4
day5-part1,part1-2000,,,,50926384.0,ns,4
day5-part1,part1-2000,,,,50856724.0,ns,4
day5-part1,part1-2000,,,,50741334.0,ns,4
day5-part1,part1-2000,,,,50948244.0,ns,4
day5-part1,part1-2000,,,,50942744.0,ns,4
day5-part1,part1-2000,,,,50807205.0,ns,4
day5-part1,part1-2000,,,,50887493.0,ns,4
day5-part1,part1-2000,,,,50885325.0,ns,4
day5-part1,part1-2000,,,,50747044.0,ns,4
day5-part1,part1-2000,,,,50843544.0,ns,4
day5-part1,part1-2000,,,,51051114.0,ns,4
day5-part1,part1-2000,,,,50770994.0,ns,4
day5-part1,part1-2000,,,,50699774.0,ns,4
day5-part1,part1-2000,,,,51254803.0,ns,4
day5-part1,part1-2000,,,,50760515.0,ns,4
day5-part1,part1-2000,,,,50776113.0,ns,4
day5-part1,part1-2000,,,,50737305.0,ns,4
day5-part1,part1-2000,,,,50918474.0,ns,4
day5-part1,part1-2000,,,,50740824.0,ns,4
day5-part1,part1-2000,,,,50753104.0,ns,4
day5-part1,part1-2000,,,,50843194.0,ns,4
day5-part1,part1-2000,,,,50798754.0,ns,4
day5-part1,part1-2000,,,,50704544.0,ns,4
day5-part1,part1-2000,,,,50637905.0,ns,4
day5-part1,part1-2000,,,,50859904.0,ns,4
day5-part1,part1-2000,,,,50923444.0,ns,4
day5-part1,part1-2000,,,,50874653.0,ns,4
day5-part1,part1-2000,,,,50799035.0,ns,4
day5-part1,part1-2000,,,,52810893.0,ns,4
day5-part1,part1-2000,,,,50751924.0,ns,4
day5-part1,part1-2000,,,,50896494.0,ns,4
day5-part1,part1-2000,,,,50602624.0,ns,4
day5-part1,part1-2000,,,,50903524.0,ns,4
day5-part1,part1-2000,,,,51083714.0,ns,4
day5-part1,part1-2000,,,,50706654.0,ns,4
day5-part1,part1-2000,,,,50671794.0,ns,4
day5-part1,part1-2000,,,,51075884.0,ns,4
day5-part1,part1-2000,,,,51033674.0,ns,4
day5-part1,part1-2000,,,,52853254.0,ns,4
day5-part1,part1-2000,,,,50823053.0,ns,4
day5-part1,part1-2000,,,,51033924.0,ns,4
day5-part1,part1-2000,,,,51157094.0,ns,4
day5-part1,part1-2000,,,,50817934.0,ns,4
day5-part1,part1-2000,,,,51247874.0,ns,4
day5-part1,part1-2000,,,,50966994.0,ns,4
day5-part1,part1-2000,,,,50765484.0,ns,4
day5-part1,part1-2000,,,,50692904.0,ns,4
day5-part1,part1-2000,,,,50589364.0,ns,4
day5-part1,part1-2000,,,,50726665.0,ns,4
day5-part1,part1-2000,,,,50822383.0,ns,4
day5-part1,part1-2000,,,,51451785.0,ns,4
day5-part1,part1-2000,,,,51149003.0,ns,4
day5-part1,part1-2000,,,,50740945.0,ns,4
day5-part1,part1-2000,,,,51214343.0,ns,4
day5-part1,part1-2000,,,,50618254.0,ns,4
day5-part1,part1-2000,,,,50721655.0,ns,4
day5-part1,part1-2000,,,,51010183.0,ns,4
day5-part1,part1-2000,,,,50751864.0,ns,4
day5-part1,part1-2000,,,,50789934.0,ns,4
day5-part1,part1-2000,,,,51049875.0,ns,4
day5-part1,part1-2000,,,,50745543.0,ns,4
day5-part1,part1-2000,,,,50816574.0,ns,4
