group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day5-part1,part1-1000,,,,52012104.0,ns,20
day5-part1,part1-1000,,,,51754225.0,ns,20
day5-part1,part1-1000,,,,52672383.0,ns,20
day5-part1,part1-1000,,,,52067164.0,ns,20
day5-part1,part1-1000,,,,51749703.0,ns,20
day5-part1,part1-1000,,,,51783064.0,ns,20
day5-part1,part1-1000,,,,51628174.0,ns,20
day5-part1,part1-1000,,,,51703804.0,ns,20
day5-part1,part1-1000,,,,51688354.0,ns,20
day5-part1,part1-1000,,,,51851744.0,ns,20
day5-part1,part1-1000,,,,52787984.0,ns,20
day5-part1,part1-1000,,,,52147133.0,ns,20
day5-part1,part1-1000,,,,52693554.0,ns,20
day5-part1,part1-1000,,,,52073234.0,ns,20
day5-part1,part1-1000,,,,51804173.0,ns,20
day5-part1,part1-1000,,,,51865464.0,ns,20
day5-part1,part1-1000,,,,52316114.0,ns,20
day5-part1,part1-1000,,,,51951534.0,ns,20
day5-part1,part1-1000,,,,51889183.0,ns,20
day5-part1,part1-1000,,,,51903814.0,ns,20
day5-part1,part1-1000,,,,51791635.0,ns,20
day5-part1,part1-1000,,,,53216012.0,ns,20
day5-part1,part1-1000,,,,51853384.0,ns,20
day5-part1,part1-1000,,,,51736074.0,ns,20
day5-part1,part1-1000,,,,51974654.0,ns,20
day5-part1,part1-1000,,,,51819094.0,ns,20
day5-part1,part1-1000,,,,51976614.0,ns,20
day5-part1,part1-1000,,,,52154674.0,ns,20
day5-part1,part1-1000,,,,52186103.0,ns,20
day5-part1,part1-1000,,,,51876294.0,ns,20
day5-part1,part1-1000,,,,51860754.0,ns,20
day5-part1,part1-1000,,,,51845654.0,ns,20
day5-part1,part1-1000,,,,52058934.0,ns,20
day5-part1,part1-1000,,,,52460553.0,ns,20
day5-part1,part1-1000,,,,52742504.0,ns,20
day5-part1,part1-1000,,,,52077133.0,ns,20
day5-part1,part1-1000,,,,51974774.0,ns,20
day5-part1,part1-1000,,,,52466884.0,ns,20
day5-part1,part1-1000,,,,52189444.0,ns,20
day5-part1,part1-1000,,,,52032403.0,ns,20
day5-part1,part1-1000,,,,52671484.0,ns,20
day5-part1,part1-1000,,,,52095503.0,ns,20
day5-part1,part1-1000,,,,52438144.0,ns,20
day5-part1,part1-1000,,,,52068003.0,ns,20
day5-part1,part1-1000,,,,52639274.0,ns,20
day5-part1,part1-1000,,,,52766754.0,ns,20
day5-part1,part1-1000,,,,52451973.0,ns,20
day5-part1,part1-1000,,,,52349044.0,ns,20
day5-part1,part1-1000,,,,52310623.0,ns,20
day5-part1,part1-1000,,,,53682783.0,ns,20
day5-part1,part1-1000,,,,53198353.0,ns,20
day5-part1,part1-1000,,,,52833674.0,ns,20
day5-part1,part1-1000,,,,52298713.0,ns,20
day5-part1,part1-1000,,,,52963694.0,ns,20
day5-part1,part1-1000,,,,53167323.0,ns,20
day5-part1,part1-1000,,,,52580953.0,ns,20
day5-part1,part1-1000,,,,53196034.0,ns,20
day5-part1,part1-1000,,,,52505323.0,ns,20
day5-part1,part1-1000,,,,52595243.0,ns,20
day5-part1,part1-1000,,,,52803684.0,ns,20
day5-part1,part1-1000,,,,52305533.0,ns,20
day5-part1,part1-1000,,,,52426194.0,ns,20
day5-part1,part1-1000,,,,52918834.0,ns,20
day5-part1,part1-1000,,,,52775903.0,ns,20
day5-part1,part1-1000,,,,58014161.0,ns,20
day5-part1,part1-1000,,,,54969432.0,ns,20
day5-part1,part1-1000,,,,52474003.0,ns,20
day5-part1,part1-1000,,,,52246644.0,ns,20
day5-part1,part1-1000,,,,52275574.0,ns,20
day5-part1,part1-1000,,,,52480493.0,ns,20
day5-part1,part1-1000,,,,52970994.0,ns,20
day5-part1,part1-1000,,,,52595143.0,ns,20
day5-part1,part1-1000,,,,54129273.0,ns,20
day5-part1,part1-1000,,,,52624624.0,ns,20
day5-part1,part1-1000,,,,52541543.0,ns,20
day5-part1,part1-1000,,,,52356664.0,ns,20
day5-part1,part1-1000,,,,52121523.0,ns,20
day5-part1,part1-1000,,,,52735223.0,ns,20
day5-part1,part1-1000,,,,52769824.0,ns,20
day5-part1,part1-1000,,,,52349123.0,ns,20
day5-part1,part1-1000,,,,52344654.0,ns,20
day5-part1,part1-1000,,,,52738774.0,ns,20
day5-part1,part1-1000,,,,52187183.0,ns,20
day5-part1,part1-1000,,,,52589474.0,ns,20
day5-part1,part1-1000,,,,52301064.0,ns,20
day5-part1,part1-1000,,,,52351573.0,ns,20
day5-part1,part1-1000,,,,52220244.0,ns,20
day5-part1,part1-1000,,,,53732272.0,ns,20
day5-part1,part1-1000,,,,52412164.0,ns,20
day5-part1,part1-1000,,,,52205874.0,ns,20
day5-part1,part1-1000,,,,52308544.0,ns,20
day5-part1,part1-1000,,,,52194833.0,ns,20
day5-part1,part1-1000,,,,52169504.0,ns,20
day5-part1,part1-1000,,,,52424083.0,ns,20
day5-part1,part1-1000,,,,52634444.0,ns,20
day5-part1,part1-1000,,,,52119433.0,ns,20
day5-part1,part1-1000,,,,52325444.0,ns,20
day5-part1,part1-1000,,,,54306153.0,ns,20
day5-part1,part1-1000,,,,52522764.0,ns,20
day5-part1,part1-1000,,,,52162253.0,ns,20
