group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day5-part1,part1-2000,,,,50999854.0,ns,4
day5-part1,part1-2000,,,,50759594.0,ns,4
day5-part1,part1-2000,,,,50527565.0,ns,4
day5-part1,part1-2000,,,,50673804.0,ns,4
day5-part1,part1-2000,,,,50715345.0,ns,4
day5-part1,part1-2000,,,,50463724.0,ns,4
day5-part1,part1-2000,,,,50773285.0,ns,4
day5-part1,part1-2000,,,,50849684.0,ns,4
day5-part1,part1-2000,,,,50995544.0,ns,4
day5-part1,part1-2000,,,,50800215.0,ns,4
day5-part1,part1-2000,,,,50715814.0,ns,4
day5-part1,part1-2000,,,,50402915.0,ns,4
day5-part1,part1-2000,,,,50632174.0,ns,4
day5-part1,part1-2000,,,,51459594.0,ns,4
day5-part1,part1-2000,,,,51881504.0,ns,4
day5-part1,part1-2000,,,,50493355.0,ns,4
day5-part1,part1-2000,,,,50704344.0,ns,4
day5-part1,part1-2000,,,,50909874.0,ns,4
day5-part1,part1-2000,,,,50498705.0,ns,4
day5-part1,part1-2000,,,,50509424.0,ns,4
day5-part1,part1-2000,,,,50740894.0,ns,4
day5-part1,part1-2000,,,,50786905.0,ns,4
day5-part1,part1-2000,,,,50571935.0,ns,4
day5-part1,part1-2000,,,,50448764.0,ns,4
day5-part1,part1-2000,,,,50509194.0,ns,4
day5-part1,part1-2000,,,,50602475.0,ns,4
day5-part1,part1-2000,,,,50439895.0,ns,4
day5-part1,part1-2000,,,,50608784.0,ns,4
day5-part1,part1-2000,,,,52688413.0,ns,4
day5-part1,part1-2000,,,,50622834.0,ns,4
day5-part1,part1-2000,,,,50443266.0,ns,4
day5-part1,part1-2000,,,,50504834.0,ns,4
day5-part1,part1-2000,,,,50583854.0,ns,4
day5-part1,part1-2000,,,,50844275.0,ns,4
day5-part1,part1-2000,,,,50398344.0,ns,4
day5-part1,part1-2000,,,,50683005.0,ns,4
day5-part1,part1-2000,,,,51477684.0,ns,4
day5-part1,part1-2000,,,,50591795.0,ns,4
day5-part1,part1-2000,,,,50545174.0,ns,4
day5-part1,part1-2000,,,,50636584.0,ns,4
day5-part1,part1-2000,,,,50649585.0,ns,4
day5-part1,part1-2000,,,,50741774.0,ns,4
day5-part1,part1-2000,,,,50677944.0,ns,4
day5-part1,part1-2000,,,,50536505.0,ns,4
day5-part1,part1-2000,,,,50634744.0,ns,4
day5-part1,part1-2000,,,,50566195.0,ns,4
day5-part1,part1-2000,,,,50532064.0,ns,4
day5-part1,part1-2000,,,,50552775.0,ns,4
day5-part1,part1-2000,,,,50370715.0,ns,4
day5-part1,part1-2000,,,,50634744.0,ns,4
day5-part1,part1-2000,,,,50709824.0,ns,4
day5-part1,part1-2000,,,,50419765.0,ns,4
day5-part1,part1-2000,,,,50970714.0,ns,4
day5-part1,part1-2000,,,,51174984.0,ns,4
day5-part1,part1-2000,,,,52608013.0,ns,4
day5-part1,part1-2000,,,,50353125.0,ns,4
day5-part1,part1-2000,,,,50652115.0,ns,4
day5-part1,part1-2000,,,,50569644.0,ns,4
day5-part1,part1-2000,,,,50500585.0,ns,4
day5-part1,part1-2000,,,,50980904.0,ns,4
day5-part1,part1-2000,,,,50465964.0,ns,4
day5-part1,part1-2000,,,,50586045.0,ns,4
day5-part1,part1-2000,,,,50729064.0,ns,4
day5-part1,part1-2000,,,,50439015.0,ns,4
day5-part1,part1-2000,,,,50711574.0,ns,4
day5-part1,part1-2000,,,,50678545.0,ns,4
day5-part1,part1-2000,,,,50954504.0,ns,4
day5-part1,part1-2000,,,,50810594.0,ns,4
day5-part1,part1-2000,,,,53130263.0,ns,4
day5-part1,part1-2000,,,,50832725.0,ns,4
day5-part1,part1-2000,,,,50436754.0,ns,4
day5-part1,part1-2000,,,,50426015.0,ns,4
day5-part1,part1-2000,,,,50720944.0,ns,4
day5-part1,part1-2000,,,,50447495.0,ns,4
day5-part1,part1-2000,,,,50527674.0,ns,4
day5-part1,part1-2000,,,,50685835.0,ns,4
day5-part1,part1-2000,,,,50701684.0,ns,4
day5-part1,part1-2000,,,,50740345.0,ns,4
day5-part1,part1-2000,,,,50861174.0,ns,4
day5-part1,part1-2000,,,,50923124.0,ns,4
day5-part1,part1-2000,,,,50483565.0,ns,4
day5-part1,part1-2000,,,,50518514.0,ns,4
day5-part1,part1-2000,,,,50626804.0,ns,4
day5-part1,part1-2000,,,,50787475.0,ns,4
day5-part1,part1-2000,,,,50495114.0,ns,4
day5-part1,part1-2000,,,,50754395.0,ns,4
day5-part1,part1-2000,,,,50674774.0,ns,4
day5-part1,part1-2000,,,,50841674.0,ns,4
day5-part1,part1-2000,,,,50534455.0,ns,4
day5-part1,part1-2000,,,,50847054.0,ns,4
day5-part1,part1-2000,,,,50634335.0,ns,4
day5-part1,part1-2000,,,,50894734.0,ns,4
day5-part1,part1-2000,,,,50707704.0,ns,4
day5-part1,part1-2000,,,,50718515.0,ns,4
day5-part1,part1-2000,,,,52670103.0,ns,4
day5-part1,part1-2000,,,,51190285.0,ns,4
day5-part1,part1-2000,,,,50699804.0,ns,4
day5-part1,part1-2000,,,,50576014.0,ns,4
day5-part1,part1-2000,,,,50610865.0,ns,4
day5-part1,part1-2000,,,,50740134.0,ns,4
