group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day5-part1,part1-1000,,,,50422659.0,ns,19
day5-part1,part1-1000,,,,50533839.0,ns,19
day5-part1,part1-1000,,,,49465019.0,ns,19
day5-part1,part1-1000,,,,49846360.0,ns,19
day5-part1,part1-1000,,,,49496729.0,ns,19
day5-part1,part1-1000,,,,49819809.0,ns,19
day5-part1,part1-1000,,,,54596637.0,ns,19
day5-part1,part1-1000,,,,49486639.0,ns,19
day5-part1,part1-1000,,,,49215860.0,ns,19
day5-part1,part1-1000,,,,49720779.0,ns,19
day5-part1,part1-1000,,,,48911340.0,ns,19
day5-part1,part1-1000,,,,49218829.0,ns,19
day5-part1,part1-1000,,,,49536560.0,ns,19
day5-part1,part1-1000,,,,49477499.0,ns,19
day5-part1,part1-1000,,,,49485710.0,ns,19
day5-part1,part1-1000,,,,49761049.0,ns,19
day5-part1,part1-1000,,,,49558929.0,ns,19
day5-part1,part1-1000,,,,49423740.0,ns,19
day5-part1,part1-1000,,,,49065479.0,ns,19
day5-part1,part1-1000,,,,49149679.0,ns,19
day5-part1,part1-1000,,,,49306319.0,ns,19
day5-part1,part1-1000,,,,49325670.0,ns,19
day5-part1,part1-1000,,,,49257859.0,ns,19
day5-part1,part1-1000,,,,49182260.0,ns,19
day5-part1,part1-1000,,,,49332879.0,ns,19
day5-part1,part1-1000,,,,49328400.0,ns,19
day5-part1,part1-1000,,,,48892529.0,ns,19
day5-part1,part1-1000,,,,49590390.0,ns,19
day5-part1,part1-1000,,,,49200429.0,ns,19
day5-part1,part1-1000,,,,50320859.0,ns,19
day5-part1,part1-1000,,,,51852558.0,ns,19
day5-part1,part1-1000,,,,49483489.0,ns,19
day5-part1,part1-1000,,,,48964620.0,ns,19
day5-part1,part1-1000,,,,48618080.0,ns,19
day5-part1,part1-1000,,,,49030109.0,ns,19
day5-part1,part1-1000,,,,48966480.0,ns,19
day5-part1,part1-1000,,,,49150289.0,ns,19
day5-part1,part1-1000,,,,48665500.0,ns,19
day5-part1,part1-1000,,,,49040870.0,ns,19
day5-part1,part1-1000,,,,48724979.0,ns,19
day5-part1,part1-1000,,,,48637700.0,ns,19
day5-part1,part1-1000,,,,48965839.0,ns,19
day5-part1,part1-1000,,,,48909070.0,ns,19
day5-part1,part1-1000,,,,48733199.0,ns,19
day5-part1,part1-1000,,,,49237260.0,ns,19
day5-part1,part1-1000,,,,48618579.0,ns,19
day5-part1,part1-1000,,,,48730560.0,ns,19
day5-part1,part1-1000,,,,54335718.0,ns,19
day5-part1,part1-1000,,,,49007549.0,ns,19
day5-part1,part1-1000,,,,48813090.0,ns,19
day5-part1,part1-1000,,,,48695630.0,ns,19
day5-part1,part1-1000,,,,48692659.0,ns,19
day5-part1,part1-1000,,,,48755959.0,ns,19
day5-part1,part1-1000,,,,48600260.0,ns,19
day5-part1,part1-1000,,,,48546720.0,ns,19
day5-part1,part1-1000,,,,48711659.0,ns,19
day5-part1,part1-1000,,,,48925250.0,ns,19
day5-part1,part1-1000,,,,48632810.0,ns,19
day5-part1,part1-1000,,,,49236749.0,ns,19
day5-part1,part1-1000,,,,48711490.0,ns,19
day5-part1,part1-1000,,,,48845450.0,ns,19
day5-part1,part1-1000,,,,48784729.0,ns,19
day5-part1,part1-1000,,,,48573820.0,ns,19
day5-part1,part1-1000,,,,48642829.0,ns,19
day5-part1,part1-1000,,,,49015590.0,ns,19
day5-part1,part1-1000,,,,48903419.0,ns,19
day5-part1,part1-1000,,,,48902130.0,ns,19
day5-part1,part1-1000,,,,48839279.0,ns,19
day5-part1,part1-1000,,,,48740450.0,ns,19
day5-part1,part1-1000,,,,49233670.0,ns,19
day5-part1,part1-1000,,,,48891769.0,ns,19
day5-part1,part1-1000,,,,49290510.0,ns,19
day5-part1,part1-1000,,,,49024619.0,ns,19
day5-part1,part1-1000,,,,48885069.0,ns,19
day5-part1,part1-1000,,,,48685420.0,ns,19
day5-part1,part1-1000,,,,48806019.0,ns,19
day5-part1,part1-1000,,,,48848170.0,ns,19
day5-part1,part1-1000,,,,49044360.0,ns,19
day5-part1,part1-1000,,,,48708069.0,ns,19
day5-part1,part1-1000,,,,49609100.0,ns,19
day5-part1,part1-1000,,,,48782099.0,ns,19
day5-part1,part1-1000,,,,48876770.0,ns,19
day5-part1,part1-1000,,,,48934339.0,ns,19
day5-part1,part1-1000,,,,48631720.0,ns,19
day5-part1,part1-1000,,,,48734269.0,ns,19
day5-part1,part1-1000,,,,48621030.0,ns,19
day5-part1,part1-1000,,,,48826740.0,ns,19
day5-part1,part1-1000,,,,48832409.0,ns,19
day5-part1,part1-1000,,,,48612600.0,ns,19
day5-part1,part1-1000,,,,56549456.0,ns,19
day5-part1,part1-1000,,,,49421599.0,ns,19
day5-part1,part1-1000,,,,48778930.0,ns,19
day5-part1,part1-1000,,,,49283999.0,ns,19
day5-part1,part1-1000,,,,49023820.0,ns,19
day5-part1,part1-1000,,,,48609660.0,ns,19
day5-part1,part1-1000,,,,48549859.0,ns,19
day5-part1,part1-1000,,,,48920079.0,ns,19
day5-part1,part1-1000,,,,48661780.0,ns,19
day5-part1,part1-1000,,,,48712770.0,ns,19
day5-part1,part1-1000,,,,49214729.0,ns,19
